nim;job_text_raw;label
E31192463;founder;Wirausaha Informatika
E31192304;founder;Wirausaha Informatika
E31202490;freelance kerja lepas;Wirausaha Informatika
E31192116;freelance kerja lepas;Wirausaha Informatika
E31170763;document control specialist;Non-IT
E31191250;founder;Wirausaha Informatika
E31162061;web developer;Programmer
E31191228;it staff teknisi;Programmer
E31201237;staff;Non-IT
E31170805;senior account manager;Non-IT
E31180748;freelance kerja lepas;Wirausaha Informatika
E31181391;staff;Non-IT
E31191310;founder;Wirausaha Informatika
E31171257;admin dan digital marketing;Non-IT
E31190631;staff;Non-IT
E31191120;freelance kerja lepas;Programmer
E31171444;wirausaha founder;Wirausaha Informatika
E31181885;staff admin;Non-IT
E31202451;staff;Non-IT
E31181496;programmer developer;Programmer
E31171777;programmer developer;Programmer
E31171076;support specialist;Programmer
E31192382;staff;Non-IT
E31182077;data analyst;Data Analyst
E31192029;freelance kerja lepas;Programmer
E31201228;founder;Wirausaha Informatika
E31191894;fullstack developer;Programmer
E31180884;staff;Programmer
E31180686;founder;Wirausaha Informatika
E31201647;founder;Wirausaha Informatika
E31190070;staff administrator;Non-IT
E31192292;staff;Non-IT
E31171236;it staff teknisi;Programmer
E31160622;programmer;Programmer
E31170906;wirausaha founder;Wirausaha Informatika
E31190785;freelance kerja lepas;Wirausaha Informatika
E31170087;design development;Non-IT
E31191006;freelance kerja lepas;Wirausaha Informatika
E31180878;freelance kerja lepas;Programmer
E31172208;fullstack developer web app;Programmer
E31201365;founder;Programmer
E31180703;it staff teknisi;Programmer
E31190648;founder;Programmer
E31191919;freelance kerja lepas;Wirausaha Informatika
E31191116;freelance kerja lepas;Wirausaha Informatika
E31192047;founder;Wirausaha Informatika
E31171096;customer service officer;Non-IT
E31170715;administrasi;Non-IT
E31190957;freelance kerja lepas;Wirausaha Informatika
E31191286;staff;Non-IT
E31192123;customer engineer;Programmer
E31180696;founder;Wirausaha Informatika
E31171869;programmer developer;Programmer
E31202536;freelance kerja lepas;Data Analyst
E31190883;staff;Programmer
E31181131;founder;Data Analyst
E31182235;programmer developer;Programmer
E31180332;founder;Wirausaha Informatika
E31161169;customer service;Non-IT
E31190939;founder;Wirausaha Informatika
E31161776;web developer;Programmer
E31180256;freelance kerja lepas;Wirausaha Informatika
E31201687;staff graphic designer;Non-IT
E31192159;staff data;Non-IT
E31192353;founder;Wirausaha Informatika
E31171151;sales executive;Non-IT
E31180464;staff;Wirausaha Informatika
E31192259;owner;Wirausaha Informatika
E31201954;freelance kerja lepas;Wirausaha Informatika
E31171313;it staff teknisi;Programmer
E31192254;freelance kerja lepas;Programmer
E31201829;staff;Non-IT
E31202278;founder;Wirausaha Informatika
E31190286;staff;Non-IT
E31201056;freelance kerja lepas;Wirausaha Informatika
E31200001;freelance kerja lepas;Wirausaha Informatika
E31171431;guru tik;Non-IT
E31192033;staff;Programmer
E31190865;founder;Programmer
E31170933;tester;Programmer
E31170772;engineer product;Programmer
E31190279;founder;Programmer
E31170392;it staff teknisi;Programmer
E31201555;freelance kerja lepas;Non-IT
E31180373;staff;Non-IT
E31201573;staff;Non-IT
E31192221;freelance kerja lepas;Wirausaha Informatika
E31181263;staff;Non-IT
E31171996;beauty advisor you;Non-IT
E31181091;management informatika;Programmer
E31180724;lain lain;Non-IT
E31191547;staf sdm parmas;Non-IT
E31181436;staff;Programmer
E31202279;freelance kerja lepas;Programmer
E31192175;petugas barang bukti;Non-IT
E31192120;freelance kerja lepas;Wirausaha Informatika
E31181929;administrasi bmn;Non-IT
E31192264;founder;Wirausaha Informatika
E31171680;quality control specialist;Non-IT
E31202345;founder;Wirausaha Informatika
E31171791;pranata komputer;Non-IT
E31201536;freelance kerja lepas;Programmer
E31190055;staff usaha pelabuhan;Wirausaha Informatika
E31200997;freelance kerja lepas;Wirausaha Informatika
E31181373;freelance kerja lepas;Non-IT
E31180638;founder;Wirausaha Informatika
E31181709;staff;Programmer
E31190302;teknisi laboratorium;Programmer
E31182133;freelance kerja lepas;Programmer
E31181991;wirausaha founder;Wirausaha Informatika
E31182030;freelance kerja lepas;Programmer
E31200284;staff;Non-IT
E31190408;freelance kerja lepas;Wirausaha Informatika
E31190801;staff;Non-IT
E31171799;web programmer;Programmer
E31190596;staff;Non-IT
E31180369;freelance kerja lepas;Wirausaha Informatika
E31182140;programer;Programmer
E31200918;freelance kerja lepas;Wirausaha Informatika
E31190698;staff;Non-IT
E31190658;staff;Non-IT
E31202339;freelance kerja lepas;Wirausaha Informatika
E31181971;freelance kerja lepas;Wirausaha Informatika
E31160880;teller;Non-IT
E31170217;human resources development officer;Non-IT
E31200844;staff;Programmer
E31171700;administration;Non-IT
E31180504;founder;Wirausaha Informatika
E31181100;freelance kerja lepas;Wirausaha Informatika
E31192416;freelance kerja lepas;Wirausaha Informatika
E31191159;founder;Wirausaha Informatika
E31172013;wirausaha founder;Wirausaha Informatika
E31171971;it staff teknisi;Programmer
E31191394;founder;Wirausaha Informatika
E31201546;freelance kerja lepas;Wirausaha Informatika
E31180707;freelance kerja lepas;Programmer
E31191309;freelance kerja lepas;Programmer
